sep=,
"Architecture/PV (kW)","Architecture/Gen (kW)","Architecture/1kWh LI (#)","Architecture/Grid (kW)","Architecture/Converter (kW)","Architecture/Dispatch","Cost/NPC ($)","Cost/LCOE ($/kWh)","Cost/Operating cost ($/yr)","Cost/CAPEX ($)","System/Ren Frac (%)","System/Total Fuel (L/yr)","Project Economics/IRR (%)","Project Economics/Simple Payback (yr)","Gen/Hours","Gen/Production (kWh)","Gen/Fuel (L)","Gen/O&M Cost ($/yr)","Gen/Fuel Cost ($/yr)","PV/CAPEX","PV/Energy Production (kWh/yr)","1kWh LI/Auxiliary Load Percent (%)","1kWh LI/Autonomy (hr)","1kWh LI/Annual Throughput (kWh/yr)","1kWh LI/Nominal Capacity (kWh)","1kWh LI/Accessible Capacity (kWh)","Converter/Rectifier Mean Output (kW)","Converter/Inverter Mean Output (kW)","Grid/Energy Purchased (kWh)","Grid/Energy Sold (kWh)"
"206.808173625831","200","180","999999","141.215644452555","CC","917067.1","0.1129839","43595","353492.1","47.44057","27074.47","18.3115","5.385125","618","101029.1","27074.47","3708","12183.51","186127.4","381373.3","0","2.394689","70403.95","180.0004","153.0003","7.361305","41.75159","228975.5","68179.89"
"237.566978876808","200","189","999999","163.858890282073","CC","917362.9","0.1080481","40776.97","390217.9","51.36001","25870.67","17.04187","5.558907","555","97324.88","25870.67","3330","11641.8","213810.3","438095.4","0","2.514424","70742.75","189.0004","160.6503","7.408704","46.30478","222124.9","97073.95"
"188.777208156892","200","179","999999","142.069614034637","CC","917635.3","0.1147187","44893.77","337270.4","45.53257","27588.21","19.03473","5.302073","632","102895.8","27588.21","3792","12414.7","169899.5","348122.6","0","2.381385","71508.84","179.0004","152.1503","7.449724","40.0035","234125.7","59068.29"
"220.4112636848","200","165","999999","155.859875436339","CC","917806.2","0.1103527","42655.38","366378.1","49.48074","27045.35","17.8189","5.443959","642","100373.5","27045.35","3852","12170.41","198370.1","406458.7","0","2.195132","66270.03","165.0003","140.2503","6.957227","43.66341","224646.4","83668.77"
"187.451104369603","200","221","999999","141.813268422756","CC","918366.7","0.1151638","44236.39","346500","45.53911","26096.88","18.53593","5.362895","576","97817.8","26096.88","3456","11743.59","168706","345677.1","0","2.940146","75918.7","221.0004","187.8504","7.735785","40.21045","238128.3","57167.88"
"201.093106878185","200","228","999999","145.739457318796","CC","918767.6","0.1134822","43091.18","361705.6","47.19723","25608.94","18.01166","5.439584","551","96304.45","25608.94","3306","11524.02","180983.8","370834.3","0","3.033273","75741.79","228.0005","193.8004","7.770555","41.92189","234384.5","66582.31"
"209.315888702771","200","181","999999","138.013362499314","CC","918830.8","0.1133755","43611.81","355038.3","47.49299","27075.68","18.17156","5.399746","625","100879","27075.68","3750","12184.06","188384.3","385997.8","0","2.407993","69961.73","181.0004","153.8503","7.307157","41.67983","228289.7","67214.78"
"171.555535665833","200","213","999999","145.083030393998","CC","918964.5","0.1169639","45468.1","331174.9","43.33862","26671.97","19.27272","5.283051","565","100498.8","26671.97","3390","12002.39","154400","316364.2","0","2.833715","77675.3","213.0004","181.0504","7.963882","38.45091","243866","48069.82"
"235.93112526093","200","181","999999","150.207504401177","CC","919020.1","0.109838","41490.55","382650.3","50.49072","26250.38","17.11342","5.534704","589","98179.98","26250.38","3534","11812.67","212338","435078.8","0","2.407993","68818.03","181.0004","153.8503","7.232668","44.91814","222258","87538.53"
"202.204516425981","200","169","999999","165.525373123944","CC","919387.1","0.1120733","43743.55","353891.7","47.78421","27345.25","18.28933","5.382704","638","101733.1","27345.25","3828","12305.36","181984.1","372883.8","0","2.248347","68532.1","169.0003","143.6503","7.196356","42.18988","229613.9","74882.72"
"198.600657548989","200","220","999999","137.941543549077","CC","919716.3","0.1145379","43673.76","355123.1","46.6238","26101.44","18.09865","5.414848","594","97437.95","26101.44","3564","11745.65","178740.6","366237.9","0","2.926842","73525.82","220.0004","187.0004","7.513553","40.96827","234103.1","61450.63"
"200.621227881427","200","231","999999","160.638286656354","CC","919766.3","0.1127169","42797.53","366500.6","47.50114","25431.09","17.67297","5.457812","516","96326.94","25431.09","3096","11443.99","180559.1","369964.1","0","3.073184","77790.48","231.0005","196.3504","8.048004","42.69893","235050.6","71519.42"
"175.884435846797","200","186","999999","146.510226515528","CC","920227.6","0.1163998","45753.45","328749.1","43.89624","27760.68","19.32363","5.264733","615","104003.6","27760.68","3690","12492.3","158296","324347.1","0","2.474512","74586.3","186.0004","158.1003","7.745045","38.79708","239095.8","51854.73"
"225.749784192046","200","234","999999","164.471461216372","CC","920593.8","0.1096602","40965.14","391016.3","50.37803","24471.62","16.91891","5.576762","500","92615.78","24471.62","3000","11012.23","203174.8","416303.4","0","3.113096","76703.27","234.0005","198.9004","7.922338","45.68503","229623.1","89697.81"
"249.050267492328","200","186","999999","157.141657894433","CC","920743.5","0.1082028","40452.92","397787.8","51.88897","25812.68","16.70936","5.608542","559","96990.45","25812.68","3354","11615.71","224145.2","459271.7","0","2.474512","69632.01","186.0004","158.1003","7.328831","46.70482","219696.3","98551.81"
"175.097746877826","200","195","999999","157.231654906054","CC","920817.6","0.1164019","45431.01","333507.5","43.91404","26926.82","19.06994","5.288472","572","101423.6","26926.82","3432","12117.07","157588","322896.4","0","2.594247","76922.7","195.0004","165.7503","7.973931","39.06953","241780.6","52235.6"
"164.99970818259","200","209","999999","141.007266814547","CC","920939.3","0.1181782","46249.21","323051.9","42.22285","27055.34","19.63815","5.249222","588","101613.4","27055.34","3528","12174.9","148499.7","304274.7","0","2.7805","77126.7","209.0004","177.6504","7.887575","37.35779","246671.6","43117.89"
"182.718289213397","200","239","999999","145.155643182744","CC","922818.8","0.1160564","44484.61","347743.2","45.02949","25935.17","18.44218","5.384597","567","97332.11","25935.17","3402","11670.83","164446.5","336949.4","0","3.179615","77541.18","239.0005","203.1504","7.926538","39.96104","240780.9","55391.07"
"185.209204028869","200","222","999999","166.814101649407","CC","923014.1","0.1151071","44152.45","352232.5","45.48917","25789.62","18.20852","5.391386","524","97668.89","25789.62","3144","11605.33","166688.3","341542.8","0","2.95345","79350.28","222.0004","188.7004","8.240747","40.88478","240453.4","60595.04"
"196.422683299985","200","245","999999","153.34360001144","CC","923858.1","0.1141839","43304.88","364033.5","46.94844","25437.46","17.73759","5.464582","546","95688.67","25437.46","3276","11446.86","176780.4","362221.5","0","3.259438","77881.38","245.0005","208.2504","7.963775","41.92594","236345.9","66181.77"
"213.70800693093","200","235","999999","143.047642680384","CC","923865.8","0.1132054","42534.41","374001.5","48.34904","25577","17.35384","5.519866","569","95769.92","25577","3414","11509.65","192337.2","394097.3","0","3.1264","74320.71","235.0005","199.7504","7.608189","42.8512","230295.5","71596.84"
"208.205291780601","200","152","999999","149.443775739241","CC","924004.9","0.112826","44384.94","350217.9","47.96254","27965.76","18.37614","5.377326","721","102522","27965.76","4326","12584.59","187384.8","383949.8","0","2.022182","63239.88","152.0003","129.2003","6.655861","41.69168","227137.9","73815.43"
"243.045086898381","200","218","999999","144.35019766755","CC","924125","0.1108927","40810.57","396545.6","50.77045","24782.44","16.64915","5.625474","533","93201.14","24782.44","3198","11152.1","218740.6","448197.6","0","2.900235","72426.95","218.0004","185.3004","7.456328","45.20995","224148.8","84943.47"
"175.673451645603","200","172","999999","137.663419187351","CC","925143.6","0.1173186","46624.46","322405.1","43.55458","28504.61","19.57311","5.243256","683","105648.2","28504.61","4098","12827.07","158106.1","323958.1","0","2.288259","70879.06","172.0004","146.2003","7.394342","38.11243","238666.7","50306.57"
"242.212148365258","200","236","999999","150.407250250761","CC","925181.1","0.1103562","40461.6","402113.1","51.19776","24250.42","16.42142","5.653556","516","91323.61","24250.42","3096","10912.69","217990.9","446661.5","0","3.139704","74419.13","236.0005","200.6004","7.567464","45.86773","225162.5","88817.8"
"183.283238198107","200","162","999999","149.132557950858","CC","925635.7","0.1158927","46059.96","330194.7","44.98069","28633.37","19.23729","5.280805","707","105661.6","28633.37","4242","12885.02","164954.9","337991.2","0","2.15522","67377.11","162.0003","137.7003","7.04915","39.14437","234264.1","58140.21"
"220.979488119051","200","149","999999","143.681136253392","CC","926703.9","0.112659","43896.14","359235.9","48.85828","27791.63","17.92542","5.43338","731","101562.3","27791.63","4386","12506.23","198881.5","407506.6","0","1.98227","61390.49","149.0003","126.6503","6.461424","42.29053","223851","76607.59"
"231.059287265673","200","189","999999","133.424483044309","CC","926967.3","0.113556","42679.25","375230.7","48.90115","26579.02","17.2654","5.531787","621","98863.03","26579.02","3726","11960.56","207953.4","426094.6","0","2.514424","68836.69","189.0004","160.6503","7.139777","42.76516","223800.9","71760.88"
"242.107701181901","200","172","999999","139.451273635319","CC","927122.9","0.1118585","42111","382732.3","50.14402","26677.2","16.95008","5.561201","630","99079.52","26677.2","3780","12004.74","217896.9","446468.9","0","2.288259","66544.54","172.0004","146.2003","7.004342","44.07319","220567.4","81451.06"
"189.116516630578","200","154","999999","157.601519776222","CC","928196.4","0.1151434","45810.13","335985.3","45.90675","28578.98","18.93161","5.3134","731","104898.9","28578.98","4386","12860.54","170204.9","348748.3","0","2.04879","64977.5","154.0003","130.9003","6.815824","39.85275","232410.7","63881.01"
"159.803009018375","200","215","999999","152.857878640403","CC","928632.4","0.1197693","46815.05","323430.1","41.28795","27174.52","19.42991","5.265754","563","102672.8","27174.52","3378","12228.54","143822.7","294691.5","0","2.860323","80422.43","215.0004","182.7504","8.271754","36.97559","249463.2","40078.29"
"164.824582138856","200","192","999999","163.528142051615","CC","929175.4","0.1190029","46704.62","325400.6","42.13942","27715.23","19.21632","5.270089","594","104276.7","27715.23","3564","12471.85","148342.1","303951.7","0","2.554335","77225.1","192.0004","163.2003","8.034397","37.5115","245191.5","44293.76"
"167.242536555898","200","232","999999","160.017607852715","CC","930033.3","0.1188611","45910.58","336523.6","42.60331","26360.17","18.6859","5.337995","540","99731.92","26360.17","3240","11862.08","150518.3","308410.7","0","3.086488","81383.01","232.0005","197.2004","8.364895","38.24142","247668.6","45572.53"
"223.04697797954","200","145","999999","163.6780491789","CC","930825.9","0.1109762","43684.36","366095.7","49.90744","28157.08","17.59477","5.468895","757","102534.4","28157.08","4542","12670.68","200742.3","411319.2","0","1.929055","60027.54","145.0003","123.2502","6.328702","43.62628","222475.6","89129.25"
"163.352984420147","200","192","999999","171.791666666667","CC","933738.4","0.1197976","46968.28","326555.2","41.8731","27862.81","19.03891","5.28704","598","104813.4","27862.81","3588","12538.26","147017.7","301238","0","2.554335","77380.68","192.0004","163.2003","8.045065","37.28842","245647.1","43233.53"
"272.889690259167","200","195","999999","142.000502598945","CC","935306.3","0.110788","40097.05","416950.9","52.35054","25197.06","15.71533","5.755702","555","94470.3","25197.06","3330","11338.67","245600.7","503233.8","0","2.594247","68882.7","195.0004","165.7503","7.197167","46.60278","216704.2","93359.73"
"162.939808881746","200","165","999999","152.034449003397","CC","935594.3","0.1199995","48121.23","313506.2","41.7548","29340.75","19.81675","5.220555","716","108459.8","29340.75","4296","13203.34","146645.8","300476","0","2.195132","70271.13","165.0003","140.2503","7.321919","36.45447","242820","43415.45"
"188.486003656316","200","141","999999","144.184103419666","CC","935634.9","0.1167319","46992.19","328142.6","45.41737","29643.79","18.97457","5.293521","825","107326.7","29643.79","4950","13339.71","169637.4","347585.6","0","1.87584","60561.82","141.0003","119.8502","6.368223","38.84892","231093.5","60324.74"
"293.596409510458","200","206","999999","171.791666666667","CC","936014.7","0.1051743","37806.21","447274.3","55.49382","24362.69","14.98001","5.878509","497","92220.7","24362.69","2982","10963.21","264236.8","541418.9","0","2.740589","71302.5","206.0004","175.1004","7.459258","51.46309","214171.7","128737.2"
"238.028980267911","200","249","999999","139.634932687904","CC","936734.8","0.1135053","41645.14","398366.6","50.18817","25437.86","16.28467","5.68476","595","94603.69","25437.86","3570","11447.04","214226.1","438947.4","0","3.312653","72522.35","249.0005","211.6504","7.316139","44.27606","223389.6","78699.45"
"174.66700732947","200","151","999999","165.789700982811","CC","939131.3","0.1185892","47529.94","324687.2","43.73378","29284.87","19.00996","5.282845","765","107136.3","29284.87","4590","13178.19","157200.3","322102.1","0","2.008878","65126.5","151.0003","128.3503","6.80686","37.74805","237542","52895.11"
"255.666666666667","200","301","999999","155.166666666667","CC","939754.6","0.1106544","39284.78","431900","52.77279","23323.78","15.26466","5.855428","507","87596.34","23323.78","3042","10495.7","230100","471472.9","0","4.004452","76796.77","301.0006","255.8505","7.54823","47.52192","222661.6","97257.7"
"247.489135386121","200","139","999999","146.815768945835","CC","939878","0.1119201","43190.28","381534.9","50.9649","27955.02","16.80601","5.579122","780","101168.1","27955.02","4680","12579.76","222740.2","456392.8","0","1.849232","56962.82","139.0003","118.1502","6.03292","44.14381","217365.7","89914.04"
"255.666666666667","200","301","999999","188.416666666667","CC","940556.1","0.1073946","38575.16","441875","54.17131","23386.15","15.05808","5.885643","503","87949.38","23386.15","3018","10523.77","230100","471472.9","0","4.004452","77567.59","301.0006","255.8505","7.680695","49.979","222524.2","117776"
"221.074692121737","200","134","999999","138.349532854646","CC","940789.9","0.1150234","45392.93","353972.1","48.36621","29227.2","17.80377","5.444224","846","105095.6","29227.2","5076","13152.24","198967.2","407682.1","0","1.782713","56031.91","134.0003","113.9002","5.909475","41.15298","221586.7","73001.21"
"163.904032185732","200","289","999999","152.802915219071","CC","941026.1","0.1209914","46058.46","345604.5","42.28832","25872.35","18.02263","5.438302","564","97132.41","25872.35","3384","11642.56","147513.6","302254.2","0","3.844806","82383.69","289.0006","245.6505","8.288502","37.7682","250080.4","41943.92"
"295.673111451149","200","196","999999","151.43454127197","CC","941509.3","0.1087299","38752.46","440536.2","54.27458","24635.55","14.99564","5.876884","523","92800.43","24635.55","3138","11086","266105.8","545248.5","0","2.60755","69411.22","196.0004","166.6003","7.282367","49.1661","213479.2","110133.9"
"194.625135842363","200","241","999999","123.763888888889","CC","943535.1","0.1194335","45715.92","352541.8","45.21041","27530.38","17.74115","5.479552","717","100765.7","27530.38","4302","12388.67","175162.6","358906.7","0","3.206223","70058.66","241.0005","204.8504","7.102119","39.01576","234057","51416.85"
"159.791666666667","200","222","999999","191.816871337581","CC","944297.8","0.1217683","46988.16","336857.6","41.26168","26849.45","18.32554","5.372477","549","101605.7","26849.45","3294","12082.25","143812.5","294670.6","0","2.95345","81099.44","222.0004","188.7004","8.382623","37.07929","250750","40184.07"
"151.460887260021","200","168","999999","158.446217928797","CC","944824.9","0.122891","49427.61","305848.7","39.62803","29745.48","19.76902","5.204204","714","110219.2","29745.48","4284","13385.47","136314.8","279307.8","0","2.235043","72756.5","168.0003","142.8003","7.545897","34.84691","248828.1","35035.53"
"175.210095492839","200","345","999999","171.791666666667","CC","948428.4","0.1203103","44320.34","375476.6","44.20665","23965.04","16.74767","5.62013","492","90646.48","23965.04","2952","10784.27","157689.1","323103.6","0","4.589821","85824.96","345.0007","293.2506","8.589765","39.8149","249580.9","50109.56"
"255.666666666667","200","301","999999","221.666666666667","CC","949073.9","0.1070624","38462.44","451850","54.65012","23279.43","14.67492","5.945158","501","87541.45","23279.43","3006","10475.74","230100","471472.9","0","4.004452","77660.95","301.0006","255.8505","7.726763","50.91285","223432.6","126032.1"
"216.020875968373","200","126","999999","154.520718959726","CC","949747.6","0.1146771","46217.12","352275","48.61375","30217.93","17.69914","5.451659","930","107431.2","30217.93","5580","13598.07","194418.8","398362.4","0","1.676282","52554.8","126.0003","107.1002","5.535944","41.3801","221771.5","80953.89"
"134.410658355857","200","192","999999","147.614761947582","CC","950245.8","0.125995","50821.19","293254","36.02085","29606.87","20.44853","5.158769","647","111117.6","29606.87","3882","13323.09","120969.6","247865.7","0","2.554335","81474.7","192.0004","163.2003","8.401198","32.83266","262137.7","23711.87"
"238.519602961595","200","417","999999","132.919006760431","CC","956074.8","0.1176569","40013.99","438793.3","50.56633","19965.63","14.6833","5.97849","471","74163.76","19965.63","2826","8984.532","214667.6","439852.2","0","5.547697","81582.19","417.0008","354.4507","7.287473","43.95514","236565.5","68888.48"
"278.594215454579","200","143","999999","135.237074738147","CC","956849.3","0.1141841","42528.92","407055.9","51.8278","27551.28","15.56179","5.761785","755","100011.6","27551.28","4530","12398.07","250734.8","513753.4","0","1.902447","57602.8","143.0003","121.5502","6.12212","44.79574","212250.4","88530.61"
"165.521901615639","200","121","999999","150.64916142125","CC","965578.8","0.1233489","51143.95","304414.5","41.97567","32247.24","19.31635","5.251179","1041","113569.3","32247.24","6246","14511.26","148969.7","305237.7","0","1.609763","52207.48","121.0002","102.8502","5.431991","34.7339","237786.7","45842.68"
"255.666666666667","200","526","999999","188.416666666667","CC","978708.1","0.1127715","37175.2","498125","55.09405","16133.61","13.12129","6.686516","325","61162.49","16133.61","1950","7260.125","230100","471472.9","0","6.997814","90747.05","526.001","447.1009","7.916353","50.55505","240306.4","111644.4"
"265.808840573542","200","514","999999","156.941087211146","CC","981744.9","0.1155353","37666.53","494810.3","54.49179","17105.79","13.10029","6.721469","352","64683.54","17105.79","2112","7697.605","239228","490176","0","6.838168","88630.51","514.001","436.9009","7.715015","49.00906","234445.5","97618.23"
"351.541666666667","200","413","999999","205.041666666667","CC","981811.3","0.1032161","32539.99","561150","61.04218","17636.52","12.17255","7.341296","349","66999.16","17636.52","2094","7936.434","316387.5","648275.3","0","5.494481","81895.08","413.0008","351.0507","7.428745","59.09303","219656.1","176119.8"
"116.52916643009","200","251","999999","140.029062268527","CC","981881.6","0.1324866","53548.3","289635","31.88299","30710.07","19.49076","5.25069","695","114728.3","30710.07","4170","13819.53","104876.3","214890.5","0","3.339261","86110.61","251.0005","213.3504","8.815768","30.14516","275777.6","13597.15"
"106.771504837957","200","211","999999","158.295766192896","CC","988985.2","0.1342928","55126.76","276333.1","29.16348","31473.18","20.16529","5.176339","658","118782.6","31473.18","3948","14162.93","96094.35","196896.5","0","2.807108","89611.92","211.0004","179.3504","9.263295","28.71603","284750.5","9978.57"
