sep=,
"Architecture/PV (kW)","Architecture/Gen (kW)","Architecture/1kWh LI (#)","Architecture/Grid (kW)","Architecture/Converter (kW)","Architecture/Dispatch","Cost/NPC ($)","Cost/LCOE ($/kWh)","Cost/Operating cost ($/yr)","Cost/CAPEX ($)","System/Ren Frac (%)","System/Total Fuel (L/yr)","Project Economics/IRR (%)","Project Economics/Simple Payback (yr)","Gen/Hours","Gen/Production (kWh)","Gen/Fuel (L)","Gen/O&M Cost ($/yr)","Gen/Fuel Cost ($/yr)","PV/CAPEX","PV/Energy Production (kWh/yr)","1kWh LI/Auxiliary Load Percent (%)","1kWh LI/Autonomy (hr)","1kWh LI/Annual Throughput (kWh/yr)","1kWh LI/Nominal Capacity (kWh)","1kWh LI/Accessible Capacity (kWh)","Converter/Rectifier Mean Output (kW)","Converter/Inverter Mean Output (kW)","Grid/Energy Purchased (kWh)","Grid/Energy Sold (kWh)"
"760.278775892137","640","702","999999","605.594772364787","CC","2551465","0.1037755","97005.12","1297429","60.55684","56501.19","17.40959","5.523058","387","221275.6","56501.19","7430.4","25425.53","684250.9","1402024","0","3.223685","218463.9","702.0014","596.7012","20.8207","153.3901","528879.8","280396.3"
"776.104022341707","640","822","999999","589.653098061749","CC","2551821","0.1037384","93980.23","1336890","61.35983","50449.27","17.0633","5.594591","356","197084","50449.27","6835.2","22702.17","698493.6","1431207","0","3.774742","222032.2","822.0016","698.7014","20.38091","154.7368","538164.9","281341.9"
"908.370139637363","640","647","999999","640.917482793432","CC","2552000","0.0980612","86980.47","1427558","65.16838","53991.91","16.25032","5.703938","380","210970.5","53991.91","7296","24296.36","817533.1","1675118","0","2.971117","202537.2","647.0013","549.9511","19.92418","170.7346","490229.5","391645.6"
"882.419435178478","640","737","999999","601.424913015031","CC","2552313","0.1000482","87987.37","1414855","64.36083","52479.5","16.34208","5.69885","359","205546.8","52479.5","6892.8","23615.77","794177.5","1627263","0","3.38441","209287","737.0015","626.4512","19.7353","165.7604","497747.6","351907"
"838.162455265768","640","618","999999","589.486033371527","CC","2553046","0.1014383","93703.51","1341692","62.66692","58156.63","17.0174","5.587395","433","226132.3","58156.63","8313.6","26170.48","754346.2","1545649","0","2.837945","203147.3","618.0012","525.301","20.29913","160.6434","500701.9","325422.5"
"918.012677747544","640","661","999999","664.863374465925","CC","2553528","0.09733592","85600.91","1446920","65.66646","53422.18","16.07767","5.729475","365","209260","53422.18","7008","24039.98","826211.4","1692900","0","3.035407","204325.5","661.0013","561.8511","19.85613","173.0231","487480.1","407860.1"
"880.597192548901","640","735","999999","654.154377413554","CC","2553565","0.09882434","87026.05","1428534","64.81303","52329.11","16.24248","5.712172","355","205097.2","52329.11","6816","23548.1","792537.5","1623903","0","3.375226","209564.2","735.0015","624.7512","19.75192","168.6772","498217.3","377324.8"
"773.406244220362","640","631","999999","580.337815034585","CC","2553627","0.1037013","98217.6","1283917","60.63669","59434.41","17.59145","5.504734","445","230984.1","59434.41","8544","26745.48","696065.6","1426233","0","2.897643","209115.6","631.0013","536.3511","20.62406","153.5623","518823.2","283369.7"
"797.511600204992","640","624","999999","599.165765754518","CC","2553809","0.1025219","96251.96","1309510","61.57421","58856.04","17.33517","5.540067","441","228720.8","58856.04","8467.2","26485.22","717760.4","1470685","0","2.865498","206569.1","624.0012","530.4011","20.52173","157.0432","511701.2","305420.2"
"837.929630415516","640","628","999999","630.012016431784","CC","2553896","0.10054","92651.64","1356140","63.04811","57135.26","16.87893","5.604428","419","222461","57135.26","8044.8","25710.87","754136.7","1545220","0","2.883866","204595","628.0013","533.8011","20.41645","162.9131","503621.4","343471.5"
"825.967845425098","640","609","999999","599.00026040576","CC","2554008","0.1016346","94580.16","1331321","62.40886","58395.23","17.02101","5.571035","443","226674.1","58395.23","8505.6","26277.85","743371.1","1523161","0","2.796616","203482.1","609.0012","517.6511","20.30044","159.8554","504045.5","322393.5"
"809.033794344998","640","613","999999","593.075690975625","CC","2554227","0.1022984","95836.17","1315303","61.84481","59032.73","17.16831","5.549302","448","229141.1","59032.73","8601.6","26564.73","728130.4","1491933","0","2.814984","204344","613.0012","521.051","20.40998","157.8404","507794","309947.2"
"868.067598665803","640","688","999999","573.837029232446","CC","2554601","0.1013181","90751.31","1381412","63.41699","54199.36","16.56719","5.651147","379","211896.6","54199.36","7276.8","24389.71","781260.8","1600797","0","3.159395","209417.7","688.0014","584.8011","20.28861","162.5525","501614.2","328920.4"
"856.93506462784","640","853","999999","598.73529864303","CC","2554767","0.1011143","87770.51","1420112","64.04348","48361.22","16.24053","5.721492","345","188751.7","48361.22","6624","21762.55","771241.6","1580267","0","3.917099","214983.5","853.0017","725.0515","19.49848","163.4122","513998.8","332977"
"873.964227424758","640","815","999999","665.904053072643","CC","2554803","0.09895975","85763.86","1446089","64.9481","47555.66","16.08654","5.744598","330","186041.8","47555.66","6336","21400.05","786567.8","1611671","0","3.742597","214013.3","815.0016","692.7514","19.78007","168.8839","513953.8","375557.7"
"782.3539746047","640","628","999999","604.438106687243","CC","2555428","0.1030072","97232.77","1298450","61.10985","59027.32","17.43638","5.525024","441","229446.6","59027.32","8467.2","26562.29","704118.6","1442733","0","2.883866","208079.7","628.0013","533.8011","20.64439","155.6024","516865.4","297557.7"
"757.658991244923","640","674","999999","628.835297021387","CC","2555487","0.1037507","97500.77","1295044","60.5137","57234.46","17.4297","5.519191","397","223913.8","57234.46","7622.4","25755.51","681893.1","1397193","0","3.095105","216377.6","674.0013","572.9011","20.80868","153.5224","528426","283850.3"
"768.257994695946","640","645","999999","565.839463921761","CC","2555603","0.1042925","98794.57","1278434","60.29201","58964.88","17.61441","5.500671","442","229135.1","58964.88","8486.4","26534.2","691432.2","1416739","0","2.961933","211041.3","645.0013","548.2511","20.69073","152.2407","523531.8","274036.9"
"909.751603427839","640","753","999999","614.983354123882","CC","2555720","0.09908448","85723.98","1447522","65.25603","51059","16.036","5.747055","346","200137.2","51059","6643.2","22976.55","818776.4","1677666","0","3.457884","209316.6","753.0015","640.0513","19.57157","169.2325","493083.9","373759.5"
"876.279063183658","640","621","999999","595.512596352651","CC","2555881","0.1003576","91071.32","1378555","63.75005","56871.25","16.64853","5.642488","419","221342.2","56871.25","8044.8","25592.06","788651.2","1615939","0","2.851721","201317.4","621.0012","527.8511","20.14842","164.5767","492796.6","348572.5"
"942.920629590663","640","678","999999","624.944278714129","CC","2556005","0.09781919","84656.11","1461612","65.8721","52142.08","15.90562","5.758905","350","204539.3","52142.08","6720","23463.94","848628.6","1738833","0","3.113474","204414.7","678.0013","576.3011","19.85829","172.8952","485274.9","399793.7"
"820.63592656809","640","818","999999","643.814690287883","CC","2556110","0.1013409","90032.24","1392217","63.2224","49481.45","16.53727","5.671649","346","193451.9","49481.45","6643.2","22266.65","738572.3","1513328","0","3.756374","218338.5","818.0016","695.3014","20.04481","161.914","524116.2","329632.6"
"841.13653557775","640","599","999999","580.462813398764","CC","2558136","0.1018413","94467.07","1336912","62.57281","58422.95","16.9481","5.584061","451","226416.2","58422.95","8659.2","26290.32","757022.9","1551133","0","2.750694","202231.2","599.0012","509.151","20.1935","160.0489","500814.4","321585.8"
"774.982991739871","640","745","999999","648.222097176529","CC","2558441","0.1031127","94700.3","1334201","61.42849","53383.55","17.05348","5.582302","364","209143.3","53383.55","6988.8","24022.6","697484.7","1429140","0","3.421147","219572","745.0015","633.2513","20.63","156.3062","531168.9","297856"
"774.637598855624","640","610","999999","595.700997671373","CC","2558575","0.1035491","98564.21","1284384","60.73052","60036.83","17.46688","5.507224","463","232692.3","60036.83","8889.6","27016.57","697173.8","1428503","0","2.801208","206539.6","610.0012","518.501","20.48096","154.0662","517879.2","289867"
"825.679979060963","640","839","999999","573.717354518618","CC","2560156","0.1029601","91214.63","1380977","62.78421","50349.03","16.5594","5.671998","372","195908.4","50349.03","7142.4","22657.06","743112","1522630","0","3.852809","215911.4","839.0016","713.1514","19.57057","158.4575","519921.1","301988.2"
"829.197549452149","640","598","999999","613.091914566186","CC","2560415","0.1014704","94736.63","1335705","62.55105","58704.53","16.96","5.580334","456","227374.8","58704.53","8755.2","26417.04","746277.8","1529117","0","2.746102","202583.6","598.0012","508.301","20.21552","160.655","503588.2","330423.9"
"917.473657216156","640","826","999999","623.48187900977","CC","2560887","0.09889684","83977.13","1475271","65.6797","46619.88","15.8008","5.797126","328","182170.1","46619.88","6297.6","20978.95","825726.3","1691906","0","3.793111","212236.8","826.0016","702.1014","19.59427","170.8082","505284.5","381586.8"
"797.11758017086","640","587","999999","588.364199714377","CC","2561828","0.1030714","97865.89","1296665","61.31268","59987.78","17.35029","5.526952","480","231686.6","59987.78","9216","26994.5","717405.8","1469958","0","2.695588","203488.5","587.0012","498.951","20.25918","155.8938","512129.1","301166.2"
"831.652432480184","640","926","999999","627.253061753504","CC","2563475","0.1016171","88130.76","1424163","63.69226","46767.27","16.16116","5.740742","342","182137.7","46767.27","6566.4","21045.27","748487.2","1533644","0","4.252325","217679.1","926.0018","787.1016","19.50935","162.422","526373.1","329936.4"
"946.676234588268","640","744","999999","642.022085909456","CC","2563633","0.09759513","83312.07","1486615","66.29609","50437.2","15.69681","5.804739","342","197689.9","50437.2","6566.4","22696.74","852008.6","1745758","0","3.416555","206594.6","744.0015","632.4012","19.52135","174.3276","487156.2","410480.4"
"737.292431481252","640","821","999999","614.139634744855","CC","2565296","0.105329","97175.7","1309055","59.94378","51106.12","17.16487","5.56261","359","199726.8","51106.12","6892.8","22997.75","663563.2","1359635","0","3.77015","226445","821.0016","697.8514","20.95602","150.9772","554921.3","262504"
"754.860831843082","640","663","999999","655.080825539923","CC","2566346","0.1041412","98139.24","1297649","60.45755","57925.51","17.34509","5.530221","411","226185.3","57925.51","7891.2","26066.48","679374.8","1392033","0","3.044591","214512.2","663.0013","563.5511","20.70552","153.3553","527588.3","284770.9"
"820.485937006592","640","735","999999","554.439789567507","CC","2567997","0.1037621","94641.34","1344519","61.83373","55023.46","16.85126","5.617726","410","213934.1","55023.46","7872","24760.56","738437.3","1513052","0","3.375226","212389.3","735.0015","624.7512","20.14547","156.3389","516734.6","292967.3"
"756.862292307087","640","747","999999","663.681224272514","CC","2569367","0.104268","96409.56","1323030","60.7389","54266.49","17.09031","5.575129","370","212603.4","54266.49","7104","24419.92","681176.1","1395724","0","3.430331","220751.4","747.0015","634.9513","20.79901","154.0606","535776.8","284693.9"
"728.810952415778","640","618","999999","593.097957683289","CC","2572719","0.1058754","102754.5","1244359","58.91928","61955.29","17.79813","5.461015","480","240024.4","61955.29","9216","27879.88","655929.9","1343995","0","2.837945","211218.1","618.0012","525.301","20.8115","148.3326","532158.7","258204.5"
"978.061758070891","640","739","999999","608.770112140784","CC","2575815","0.09838244","82937.7","1503637","66.4843","50265.24","15.48636","5.843934","341","197008.1","50265.24","6547.2","22619.36","880255.6","1803636","0","3.393594","204924.2","739.0015","628.1512","19.4607","174.1937","481773.9","403797.6"
"962.748744525826","640","758","999999","580.95274828546","CC","2577479","0.09990671","84410.58","1486260","65.86639","50056.3","15.65295","5.828026","347","195841.1","50056.3","6662.4","22525.33","866473.9","1775398","0","3.480845","205650.1","758.0015","644.3013","19.27998","170.3479","485347.9","374186.4"
"792.099666919425","640","587","999999","649.668496492846","CC","2577598","0.1029173","98012.45","1310540","61.48478","60392","17.12479","5.55444","485","233165","60392","9312","27176.4","712889.7","1460705","0","2.695588","203979","587.0012","498.951","20.29534","157.3435","513015.5","315897.2"
"694.894972272852","640","751","999999","562.979308891888","CC","2578110","0.1079662","103659.6","1238049","57.57981","58243.35","17.89998","5.468871","428","226734.5","58243.35","8217.6","26209.51","625405.5","1281450","0","3.4487","224081.6","751.0015","638.3513","21.18345","143.7112","556823.4","225666.2"
"772.763799050273","640","1014","999999","596.23614041179","CC","2578716","0.1048648","92427.51","1383858","61.489","47889.93","16.39954","5.70847","338","187082.9","47889.93","6489.6","21550.47","695487.4","1425048","0","4.656434","225571.1","1014.002","861.9017","20.44091","155.0385","545477.6","280743.1"
"904.975858264777","640","564","999999","625.717710412395","CC","2578724","0.0995537","91241.84","1399194","64.48444","57910.48","16.31146","5.683708","476","223071.3","57910.48","9139.2","26059.71","814478.3","1668859","0","2.589969","195417.2","564.0011","479.401","19.71761","168.2523","488553.5","382230.1"
"881.301125205019","640","563","999999","650.779389871847","CC","2579280","0.09967028","92370.8","1385155","64.10338","58575.02","16.44261","5.661153","485","225465.1","58575.02","9312","26358.76","793171","1625201","0","2.585377","196320","563.0011","478.551","19.80409","167.3318","493108.5","380317.9"
"883.464110171354","640","567","999999","563.19528226218","CC","2580748","0.1022589","94288.91","1361826","63.17715","58577.95","16.60057","5.640753","487","225383.7","58577.95","9350.4","26360.08","795117.7","1629189","0","2.603746","196806.4","567.0012","481.951","19.80582","161.6426","493480.3","330754.6"
"707.033285976546","640","758","999999","640.214325234497","CC","2581483","0.1070947","101147.7","1273894","58.47632","55288.38","17.38972","5.515641","375","216699.2","55288.38","7200","24879.77","636329.9","1303835","0","3.480845","228326.9","758.0015","644.3013","21.52561","147.1278","557552.3","243134.3"
